uniq_id,clust8_EV1234
user_138 _ 2021-04-20,8
user_138 _ 2021-04-22,1
user_138 _ 2021-04-23,8
user_138 _ 2021-04-24,1
user_138 _ 2021-04-25,1
user_139 _ 2021-04-07,1
user_139 _ 2021-04-08,3
user_139 _ 2021-04-10,1
user_139 _ 2021-04-13,1
user_139 _ 2021-04-14,1
user_139 _ 2021-04-16,1
user_139 _ 2021-04-17,1
user_139 _ 2021-04-18,1
user_139 _ 2021-04-19,1
user_139 _ 2021-04-22,1
user_139 _ 2021-04-23,1
user_14 _ 2021-02-19,1
user_14 _ 2021-02-20,1
user_14 _ 2021-02-21,1
user_14 _ 2021-02-22,1
user_14 _ 2021-02-23,1
user_14 _ 2021-02-25,1
user_14 _ 2021-02-26,1
user_14 _ 2021-02-27,1
user_14 _ 2021-02-28,1
user_14 _ 2021-03-01,1
user_14 _ 2021-03-02,1
user_14 _ 2021-03-03,1
user_14 _ 2021-03-04,1
user_14 _ 2021-03-05,1
user_14 _ 2021-03-06,1
user_14 _ 2021-03-07,3
user_140 _ 2021-04-08,8
user_140 _ 2021-04-09,3
user_140 _ 2021-04-10,8
user_140 _ 2021-04-11,1
user_140 _ 2021-04-12,1
user_140 _ 2021-04-13,8
user_141 _ 2021-04-07,1
user_141 _ 2021-04-19,1
user_141 _ 2021-04-21,1
user_141 _ 2021-04-23,1
user_142 _ 2021-04-08,4
user_142 _ 2021-04-09,3
user_142 _ 2021-04-11,1
user_142 _ 2021-04-12,1
user_142 _ 2021-04-13,1
user_142 _ 2021-04-14,5
user_142 _ 2021-04-15,6
user_142 _ 2021-04-16,6
user_142 _ 2021-04-18,5
user_142 _ 2021-04-19,1
user_142 _ 2021-04-20,1
user_142 _ 2021-04-21,1
user_143 _ 2021-04-11,3
user_143 _ 2021-04-13,7
user_143 _ 2021-04-14,1
user_143 _ 2021-04-15,1
user_143 _ 2021-04-16,1
user_144 _ 2021-04-09,2
user_144 _ 2021-04-10,1
user_144 _ 2021-04-11,1
user_144 _ 2021-04-12,8
user_144 _ 2021-04-13,1
user_144 _ 2021-04-14,1
user_144 _ 2021-04-15,8
user_144 _ 2021-04-16,8
user_144 _ 2021-04-17,1
user_144 _ 2021-04-18,3
user_144 _ 2021-04-19,8
user_145 _ 2021-04-09,1
user_145 _ 2021-04-10,1
user_145 _ 2021-04-11,1
user_145 _ 2021-04-12,1
user_145 _ 2021-04-13,8
user_145 _ 2021-04-14,8
user_145 _ 2021-04-15,6
user_145 _ 2021-04-16,5
user_145 _ 2021-04-17,3
user_145 _ 2021-04-18,1
user_145 _ 2021-04-19,8
user_145 _ 2021-04-20,4
user_145 _ 2021-04-21,4
user_145 _ 2021-04-22,4
user_146 _ 2021-04-13,1
user_146 _ 2021-04-14,8
user_146 _ 2021-04-15,8
user_146 _ 2021-04-18,1
user_146 _ 2021-04-19,8
user_146 _ 2021-04-20,8
user_146 _ 2021-04-21,8
user_146 _ 2021-04-22,1
user_146 _ 2021-04-23,8
user_146 _ 2021-04-24,6
user_149 _ 2021-04-09,5
user_149 _ 2021-04-10,5
user_149 _ 2021-04-11,4
user_149 _ 2021-04-12,4
user_149 _ 2021-04-13,4
user_150 _ 2021-04-09,3
user_150 _ 2021-04-10,2
user_150 _ 2021-04-11,3
user_150 _ 2021-04-12,1
user_150 _ 2021-04-15,1
user_150 _ 2021-04-20,1
user_150 _ 2021-04-21,1
user_151 _ 2021-04-10,1
user_151 _ 2021-04-11,1
user_151 _ 2021-04-19,2
user_151 _ 2021-04-20,1
user_151 _ 2021-04-21,1
user_151 _ 2021-04-22,1
user_151 _ 2021-04-23,1
user_152 _ 2021-04-10,3
user_152 _ 2021-04-11,1
user_152 _ 2021-04-12,1
user_152 _ 2021-04-13,1
user_152 _ 2021-04-14,1
user_152 _ 2021-04-15,1
user_152 _ 2021-04-17,3
user_152 _ 2021-04-18,1
user_152 _ 2021-04-19,1
user_152 _ 2021-04-20,1
user_152 _ 2021-04-21,1
user_152 _ 2021-04-22,1
user_152 _ 2021-04-23,1
user_152 _ 2021-04-24,3
user_154 _ 2021-04-11,4
user_154 _ 2021-04-12,8
user_154 _ 2021-04-13,1
